SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,SCHOOL_NUMBER,AB_STUDENT_IN_AB_PROGRAM,ELL,FRENCH_PROGRAM,CORE_FRENCH,FRENCH_IMMERSION,PROGRAMME_FRANCOPHONE,CAREER_PREPARATION,CAREER_TECH_CENTRE,CONTINUING_ED_PROGRAM,COOP,DIST_LEARNING,APPRENTICESHIP
2016/2017,SCHOOL LEVEL,BC Public School,33,3333023,81,24,305,305,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333024,56,17,96,96,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333028,89,37,59,59,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333029,23,10,138,138,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333030,44,8,104,104,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333033,97,14,214,214,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333034,85,19,474,318,156,,,,,,6,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333035,39,11,85,85,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333038,97,13,449,449,,,,,,,3,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333039,45,15,117,117,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333040,55,16,179,179,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333042,14,6,49,49,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3333043,109,,395,395,,,102,6,,,46,
2016/2017,SCHOOL LEVEL,BC Public School,33,3396149,,8,195,195,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3396181,,14,249,249,,,3,,,,4,
2016/2017,SCHOOL LEVEL,BC Public School,33,3396192,,,64,64,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3396209,,,85,85,,,6,,,,23,
2016/2017,SCHOOL LEVEL,BC Public School,33,3396251,,,171,171,,,6,,,,19,
2016/2017,SCHOOL LEVEL,BC Public School,33,3396354,,,,,,,16,,,,19,
2016/2017,SCHOOL LEVEL,BC Public School,33,3396641,,,6,6,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,33,3398003,,,21,21,,,22,2,3,,767,
2016/2017,SCHOOL LEVEL,BC Public School,33,3399056,87,,,,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434000,,,,,,,,,Msk,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434003,18,5,31,31,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434005,36,26,72,72,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434007,25,4,64,64,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434011,19,13,55,55,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434016,3,96,50,50,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434018,31,192,190,60,130,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434019,4,75,60,60,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434020,2,14,389,389,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434021,88,26,36,36,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434022,178,27,332,332,,,33,,,,44,17
2016/2017,SCHOOL LEVEL,BC Public School,34,3434023,4,12,16,16,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434025,125,29,621,621,,,,,,,2,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434026,25,48,46,46,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434027,35,16,59,59,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434028,62,94,55,55,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434031,18,55,33,33,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434032,40,51,57,57,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434033,44,19,225,39,186,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434035,17,16,57,57,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434036,43,106,54,54,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434037,28,25,151,20,131,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434038,141,9,355,355,,,55,,,,86,26
2016/2017,SCHOOL LEVEL,BC Public School,34,3434041,147,35,676,352,324,,37,,,,54,11
2016/2017,SCHOOL LEVEL,BC Public School,34,3434042,70,6,672,672,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434043,42,105,34,34,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434044,30,112,41,41,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434045,32,17,46,46,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434046,67,47,47,47,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434047,56,22,516,206,310,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434048,23,17,48,48,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434049,14,185,72,72,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434050,18,9,321,62,259,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434051,1,302,48,48,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434052,29,33,153,153,,,22,,,,19,12
2016/2017,SCHOOL LEVEL,BC Public School,34,3434053,46,37,65,65,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434054,104,2,251,251,,,39,,,,52,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434055,8,102,33,33,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434056,2,166,27,27,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434057,54,31,401,401,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434058,14,38,208,208,,,,,,,5,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434059,29,17,19,19,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434060,69,7,697,697,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434061,10,7,202,202,,,7,,,,24,3
2016/2017,SCHOOL LEVEL,BC Public School,34,3434062,31,,191,191,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3434064,27,2,,,,,6,,,,12,
2016/2017,SCHOOL LEVEL,BC Public School,34,3496020,,,580,580,,,,,,,32,
2016/2017,SCHOOL LEVEL,BC Public School,34,3496069,,,899,899,,,,,,,11,
2016/2017,SCHOOL LEVEL,BC Public School,34,3496320,,,65,65,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3496425,,,593,593,,,,,,,2,
2016/2017,SCHOOL LEVEL,BC Public School,34,3496454,,,183,183,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,34,3496595,,,225,225,,,2,,,,9,
2016/2017,SCHOOL LEVEL,BC Public School,34,3496607,,,28,28,,,,,,,3,
2016/2017,SCHOOL LEVEL,BC Public School,34,3499055,116,,,,,,,,,,6,
2016/2017,SCHOOL LEVEL,BC Public School,34,3499101,,,21,21,,,,,3,,260,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535002,30,5,90,90,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535009,41,4,449,97,352,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535010,18,,83,83,,,,,1,,165,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535015,23,13,116,116,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535016,13,116,56,56,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535017,17,7,78,78,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535019,86,35,134,134,,,,29,3,,19,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535020,99,7,131,76,55,,,20,1,,13,2
2016/2017,SCHOOL LEVEL,BC Public School,35,3535022,13,7,26,26,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535023,11,3,73,73,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535024,32,17,73,73,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535026,29,7,110,110,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535029,77,16,410,410,,,,,,,18,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535032,72,42,70,70,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535033,33,11,51,51,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535034,105,,276,276,,,,10,6,,17,6
2016/2017,SCHOOL LEVEL,BC Public School,35,3535036,105,,463,243,220,,,,7,,48,3
2016/2017,SCHOOL LEVEL,BC Public School,35,3535037,35,51,50,50,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535038,21,8,70,70,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535039,35,10,34,34,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535040,42,30,478,117,361,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535041,88,33,476,476,,,,,2,,41,2
2016/2017,SCHOOL LEVEL,BC Public School,35,3535042,52,75,48,48,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535043,19,20,92,92,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535044,29,2,140,90,50,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535045,36,86,50,50,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535046,35,59,51,51,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535047,9,58,267,149,118,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535048,29,35,137,137,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535050,107,20,981,674,307,,,14,3,,51,4
2016/2017,SCHOOL LEVEL,BC Public School,35,3535051,10,18,45,45,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535052,21,21,89,89,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535053,18,51,147,147,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535054,10,28,131,131,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535055,12,105,143,143,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535056,53,3,443,443,,,,6,3,,23,1
2016/2017,SCHOOL LEVEL,BC Public School,35,3535057,68,53,509,509,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535058,77,8,419,340,79,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535061,11,102,55,55,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535062,19,102,79,79,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535063,56,75,975,975,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3535064,3,,5,5,,,,,,,2,
2016/2017,SCHOOL LEVEL,BC Public School,35,3596061,,23,72,72,,,,,,,4,
2016/2017,SCHOOL LEVEL,BC Public School,35,3596289,,,221,221,,,,,,,9,
2016/2017,SCHOOL LEVEL,BC Public School,35,3596311,,,444,444,,,5,,,,23,
2016/2017,SCHOOL LEVEL,BC Public School,35,3596376,,,43,43,,,,,,,6,
2016/2017,SCHOOL LEVEL,BC Public School,35,3596458,,,228,228,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3596573,,,,,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3596616,,,28,28,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3599050,5,,,,,,,,244,,25,
2016/2017,SCHOOL LEVEL,BC Public School,35,3599092,40,,,,,,,,,,3,
2016/2017,SCHOOL LEVEL,BC Public School,35,3599168,9,,,,,,,,34,,650,
2016/2017,SCHOOL LEVEL,BC Public School,35,3599173,25,,,,,,,1,,,11,
2016/2017,SCHOOL LEVEL,BC Public School,35,3599201,9,,,,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,35,3599202,10,,,,,,,,,,2,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636000,,,,,,,5,,1454,,2,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636001,13,140,94,94,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636002,9,8,35,35,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636004,1,118,80,80,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636009,31,75,175,175,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636012,6,62,96,96,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636013,14,30,56,56,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636018,2,5,5,5,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636019,16,3,39,39,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636021,6,53,99,99,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636022,59,89,530,530,,,24,6,12,60,25,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636028,37,90,544,544,,,33,9,,9,49,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636029,21,157,178,178,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636031,5,38,163,116,47,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636033,24,83,54,54,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636034,3,137,89,89,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636035,26,47,115,115,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636036,9,67,134,134,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636037,10,329,182,182,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636038,5,154,213,213,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636039,21,40,168,168,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636040,83,245,191,138,53,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636041,128,30,1052,825,227,,36,29,,,49,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636043,16,266,164,164,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636044,66,99,129,129,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636045,47,144,734,734,,,96,10,1,,30,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636047,117,230,419,419,,,55,23,2,69,17,3
2016/2017,SCHOOL LEVEL,BC Public School,36,3636049,39,140,581,581,,,4,8,,,104,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636050,6,96,157,157,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636051,12,212,153,153,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636053,19,295,286,286,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636054,42,160,158,158,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636055,63,230,203,203,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636056,10,73,107,107,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636057,11,93,135,135,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636058,32,213,185,185,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636059,22,168,333,79,254,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636060,11,232,156,156,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636061,25,32,437,98,339,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636062,54,131,139,139,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636063,,101,87,87,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636064,64,195,158,158,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636067,7,224,184,184,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636069,66,198,177,177,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636070,29,31,438,64,374,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636071,10,180,158,122,36,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636072,7,248,65,65,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636073,17,176,151,151,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636077,13,58,54,54,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636079,38,127,468,468,,,1,7,8,30,16,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636080,3,169,134,134,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636081,58,329,217,217,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636082,17,271,184,184,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636084,9,36,40,40,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636087,25,226,411,142,269,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636089,24,32,146,103,43,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636090,20,84,156,156,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636105,70,54,1045,585,460,,18,13,2,51,115,2
2016/2017,SCHOOL LEVEL,BC Public School,36,3636106,106,131,449,449,,,25,12,,44,25,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636107,50,202,147,147,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636109,5,308,118,118,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636111,21,290,172,172,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636112,19,190,136,136,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636114,24,60,659,659,,,14,4,1,,35,2
2016/2017,SCHOOL LEVEL,BC Public School,36,3636116,48,152,144,144,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636117,18,20,448,,448,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636118,9,16,104,104,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636122,15,40,125,125,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636128,12,243,197,197,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636129,16,261,207,207,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636130,23,210,146,146,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636131,12,152,159,159,,,,,,,1,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636132,12,106,106,106,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636134,10,52,126,126,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636136,13,184,179,179,,,,,,,1,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636137,14,215,148,148,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636138,6,193,168,168,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636139,4,216,144,130,14,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636140,10,260,170,170,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636141,24,95,567,567,,,426,8,10,,96,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636142,2,216,184,184,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636143,15,135,153,153,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636144,6,81,79,79,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636145,14,226,171,171,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636146,7,122,142,142,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636147,27,283,162,162,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636148,5,140,128,128,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636149,15,57,130,82,48,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636150,29,127,679,678,,1,1,5,7,,75,2
2016/2017,SCHOOL LEVEL,BC Public School,36,3636151,17,162,236,236,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636152,20,284,230,230,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636153,14,49,223,223,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636155,6,69,127,127,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636156,17,160,521,521,,,8,2,3,54,87,1
2016/2017,SCHOOL LEVEL,BC Public School,36,3636157,15,213,280,280,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636158,45,318,116,116,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636159,10,124,137,137,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636160,25,226,231,231,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636161,5,56,134,134,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636162,7,80,140,140,,,,,,,1,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636164,18,73,705,705,,,79,10,3,,84,4
2016/2017,SCHOOL LEVEL,BC Public School,36,3636165,17,271,266,266,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636167,23,137,843,843,,,443,4,,,50,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636170,4,45,124,124,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636172,17,171,182,182,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636173,18,48,83,83,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636174,30,181,152,152,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636175,68,59,618,618,,,9,11,1,,32,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636176,10,73,216,216,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636178,7,45,198,198,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636183,33,157,103,103,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636186,16,131,115,115,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636188,5,107,151,151,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636189,10,90,207,207,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636201,17,114,194,194,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636203,21,83,247,247,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636211,17,201,194,194,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636212,12,319,432,116,316,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636232,26,100,812,601,211,,88,3,4,29,91,2
2016/2017,SCHOOL LEVEL,BC Public School,36,3636246,36,160,310,310,,,1,7,2,80,35,
2016/2017,SCHOOL LEVEL,BC Public School,36,3636248,131,110,829,606,223,,30,11,4,,66,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696048,,,85,85,,,,,,,2,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696075,,,245,245,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696087,,,55,55,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696117,,,77,77,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696158,,,29,29,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696166,,,542,542,,,,,,,22,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696266,,15,365,365,,,2,,,,36,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696309,,53,274,274,,,,,,,10,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696321,,,450,450,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696394,,22,861,861,,,,,,,36,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696457,,,189,189,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696476,,5,490,490,,,,,,,5,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696547,,,170,170,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696585,,2498,915,915,,,,,,,15,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696602,,4,51,51,,,,,,,2,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696610,,,681,681,,,,,,,22,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696720,,,166,166,,,,,,,1102,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696797,,91,187,187,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696814,,,130,130,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696830,,,,,,,,,1,,113,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696863,,,,,,,,,,,1,
2016/2017,SCHOOL LEVEL,BC Public School,36,3696912,,,50,50,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,36,3699008,53,,,,,,,,,,3,
2016/2017,SCHOOL LEVEL,BC Public School,36,3699057,16,,,,,,18,4,,,2,
2016/2017,SCHOOL LEVEL,BC Public School,36,3699059,31,,,,,,22,2,,,1,1
2016/2017,SCHOOL LEVEL,BC Public School,36,3699062,34,,,,,,26,2,,,6,
2016/2017,SCHOOL LEVEL,BC Public School,36,3699064,34,,,,,,38,4,,,4,
2016/2017,SCHOOL LEVEL,BC Public School,36,3699121,83,,,,,,41,2,,,2,
2016/2017,SCHOOL LEVEL,BC Public School,36,3699142,14,16,49,49,,,,,9,,477,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737000,1,1,,,,,,,384,,2,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737001,24,22,326,104,222,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737003,52,20,383,383,,,89,1,,,63,1
2016/2017,SCHOOL LEVEL,BC Public School,37,3737007,14,116,304,108,196,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737008,12,126,115,115,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737009,20,24,111,111,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737012,37,56,377,377,,,71,12,2,,24,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737013,6,22,459,128,331,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737014,1,,82,82,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737015,29,14,148,99,49,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737017,13,67,281,58,223,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737018,1,10,310,58,252,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737019,9,8,101,101,,,,,,,,
2016/2017,SCHOOL LEVEL,BC Public School,37,3737021,38,30,305,305,,,90,10,1,,23,
